Product name,Plan name,Purchase date
Emailit,License Tier 3,20-Mar-26
Data retention,Data retention,20-Mar-26
AppSumo Plus Yearly Plan,Code-based,20-Mar-26
VoiceDash,License Tier 2,18-Mar-26
Semdash,License Tier 2,22-May-25
Google Maps Scraper,Code-based,22-May-25
NeuronWriter,Code-based,24-Mar-25
NeuronWriter,Code-based,7-Mar-25
NeuronWriter,Code-based,7-Mar-25
NeuronWriter,Code-based,7-Mar-25
Cromojo formerly URL Monitor,License Tier 2,24-Jul-24
iTubeGo for Windows,Code-based,28-May-24
DivMagic,Code-based,13-Feb-24
Editor.do,Code-based,16-Jan-24
Editor.do,Code-based,16-Jan-24
Sessions,License Tier 1,20-Nov-23
Launch Cart,License Tier 2,9-Nov-23
SitePoint Premium,Code-based,9-Nov-23
ScreenToVideo,Code-based,9-Nov-23
Ticket Tailor,Code-based,30-Nov-22
Frontly - No-Code Startup App Builder,Code-based,31-Oct-22
Frontly - No-Code Startup App Builder,Code-based,31-Oct-22
Frontly - No-Code Startup App Builder,Code-based,31-Oct-22
FeedBear,Code-based,31-Oct-22
FeedBear,Code-based,31-Oct-22
Google Maps Widget,Code-based,21-Oct-22
SaaS Pricing Strategy by ProfitWell,Digital Download,21-Oct-22
Frontly - No-Code Startup App Builder,Code-based,21-Oct-22
How To Sell Your Business - Online Exits by Reggie Young,Code-based,21-Oct-22
Formly - Forms & Surveys (Typeform/Jotform alternative),Code-based,21-Oct-22
Bit Integrations,Code-based,21-Oct-22
Bit Integrations,Code-based,21-Oct-22
Million Dollar Email Templates 2.0,Million Dollar Email Templates 2.0,21-Oct-22
Hoverify,Code-based,31-Jul-22
Hoverify,Code-based,31-Jul-22
Nifty,Code-based,12-Jul-22
Nifty,Code-based,12-Jul-22
Nifty,Code-based,12-Jul-22
Nifty,Code-based,12-Jul-22
Nifty,Code-based,10-Jul-22
Nifty,Code-based,10-Jul-22
WP Adminify,Code-based,27-Jun-22
WP Adminify,Code-based,27-Jun-22
