,,,"* Note, I am still updating my list, just PM me if you have a question on price or make me an offer!  * Note all prices have fees included, will accept PayPal, Wise, Stripe etc - If I have your email I can send you an invoice as well.",,,
Status,Software Title,Price,Software Description,Account,Link,Misc
Sold,Amzimage,60.00,This WP Plugin lets you add images the way Amazon wants you to – using their API.,Appsumo 1 Code,https://www.amzimage.com/,https://create.vista.com/share/67c667131d1205347011ce77
Available,Anywhereapp,165.00,Dead simple project and task management software.,Appsumo 3 Codes,Pricing (anywhereapp.io),https://i.imgur.com/JuqvYfu.jpeg
Available,BerryCast,245.00,Your video communication tool for work - Similar to Loom,Appsumo 1 Code,https://www.berrycast.com/pricing,
Sold,Better UpTime Stack,115.00,Get notified with a radically better infrastructure monitoring platform.,Appsumo 2 Codes,https://betterstack.com/,
Sold,Bit Social + Integrations ,265.00,Connect WordPress Plugins and external applications seamlessly to save time and simplify automations,Appsumo 2 Codes,Bit Integrations: ,https://create.vista.com/share/67cb334bb543dac002d80187
Sold,Blocksy Theme,345.00,A versatile WordPress theme known for its flexibility and customization options,Agency LTD Plan,Pricing - Buy Blocksy Pro (creativethemes.com),
Sold,Bricks Builder,450.00,"An innovative, visual site builder for WordPress.",Ultimate LTD Plan,https://bricksbuilder.io/,
Available,Blogely,95.00,A comprehensive content creation and management platform that may help in planning - Professional LTD,Appsumo 3 Codes,https://blogely.com/plans/,
Sold,Brizy Webuilder,425.00,WP Website builder that simplifies the creation of websites with a drag-and-drop interface.  w/ Cloud Brizy Free Plan,LTD Brizy Web Builder,https://i.imgur.com/zghAuzF.png,
Available,Css Hero,395.00,A powerful plugin to easily customize the look of your WordPress site with an intuitive point-and-click interface /animator,CSS Hero LTD w/ animator,https://i.imgur.com/XcjopWP.png,
Available,Wp Courses,165.00,WP Courses is the easiest to use course builder,1 App sumo code,https://wpcoursesplugin.com/pricing/,
Sold,Dynamic.ooo,193.00,Enhances your WordPress website with dynamic content capabilities,LTD Elementor,Dynamic.ooo - Dynamic Plugins,
Available,Easynote,75.00,Project management tool designed to help teams organize work and manage projects and tasks efficiently.,Appsumo 1 Code,Pricing of Easynote,
Available,Editor.do,78.00,The all-in-one online IDE and host to create,Appsumo 2 Codes,https://editor.do/#pricing,
Available,Elite Licenser,145.00,A software license manager for product licensing and software updates,Agency-Life Time,https://i.imgur.com/bvgHQYQ.png,
Sold,Encharge Email,Not for sale,"Nurture, convert, and onboard customers with advanced behavior emails  (*Email not changeable)",License Tier 5,https://i.imgur.com/vOJAP5H.png,
Sold,Ewww Image Optimizer,192.00,A tool that helps in optimizing images to improve website speed and performance by reducing the size of images without losing quality.,License Tier 3,https://ewww.io/plans/,
Available,Feed Bear,195.00,"Collect & prioritize customer feedback, the easy way. ",Appsumo 2 Codes,https://i.imgur.com/svi6zVv.png,
Available,Getformly,75.00,Formly - Forms & Surveys (Typeform/Jotform alternative),Appsumo 1 Code,Pricing | Formly (getformly.com),
Available,Getgenie,145.00,Write Wordpress Content etc - Adored by Google to Boost Organic Traffic,GetGenie Lifetime - Tier 1,https://i.imgur.com/y3qpYiE.png,
Sold,Getwpfunnels,116.00,A tool for creating and managing marketing funnels within a WordPress environment.,License Tier 3,https://i.imgur.com/sFQNCUo.png,
Sold,Internxt,240.00,All Internxt plans are fully featured with complete access to all of our privacy services.,5TB Plan,Internxt Pricing – Get Up To 10GB Free!,
